CDC;Nome;Peso;Grade
00403100127;HPC SC SP WASHING LUIS;158;117
00403187929;PRODUTOS EMISSOR;21646;117
00434100011;ITAPIRA SP;158;117
00434100121;PORTO FERREIRA SP;158;117
00434100189;S PAULO PCA ROOSEVEL;158;117
00434100199;S PAULO ORFANATO;316;117
00434100208;ANAPOLIS GO;316;117
00434100989;PLAT CORP SP1;158;117
00434101000;S PAULO EST CONCEICAO;2370;117
00434101001;SP PB CEIC;948;117
00434101025;CAMPINAS PS PUC;158;117
00434101404;VITORIA PARQUE MOSCO;158;117
00434101890;BRASILIA PB SOBEBE;632;117
00434102651;SP PB TCM SP;158;117
00434102670;S PAULO PB COMPUTER;474;117
00434103366;PLAT 3366 IMOB COELHO FONSECA;158;117
00434103747;PERSONNALITE CEIC;1896;117
00434104020;CAMPO LARGO PR;158;117
00434104083;PERSONNALITE PRES VARGAS;632;117
00434104184;DIR NEGOCIOS VAREJO-N S CO;1264;117
00434104444;UNID APOIO OPERACIONAL DAC CAT;158;117
00434104674;DIR NEGOCIOS VAREJO-GRANDE SP;1738;117
00434104979;UNID ASSUNTOS CORPORATIVOS;474;117
00434105163;SUP RO ATACADO;316;117
00434105238;GER ESTUDOS ORCAMENTARIOS;1264;117
00434105580;GER ROTATIVOS PF;158;117
00434105764;AG DIGITAL RIO 3;316;117
00434105862;GER HOMOLOGACAO E CONTRATOS;1422;117
00434105880;SUP SOURCING;632;117
00434106049;UNID OPER CALL CENTER PF CAT;158;117
00434106131;RESENDE-CASTELO BRAN;158;117
00434106132;DIR RIS CRED MODELAGEM;474;117
00434106440;GER JUR SOCIET GOV CORP;474;117
00434106556;ANAPOLIS-B JUNDIAI;158;117
00434107273;CHAPTER PRODUTOS 2;2054;117
00434107487;BLUMENAU-VELHA;474;117
00434107518;CARTONISTAS 29;1106;117
00434107679;CEMIG SAO GABRIEL;158;117
00434107779;SP AV SUMARE;2370;117
00434109157;PERSONNALITE PANAMBY;158;117
00434110263;0263 S B C RUDGE RAMOS SP;158;117
00434111000;1000 S PAULO EST CONCEICAO;158;117
00434111001;1001 SP PB CENTRO EMPRESARIAL;474;117
00434112709;2709 BRASILIA MINIST JUSTICA;158;117
00434112711;2711 CAMPINAS STA CANDIDA;948;117
00434112814;2814 CATALAO PB ULTRAFERTIL;158;117
00434113110;3110 JANAUBA MG;316;117
00434113113;3113 TIMOTEO MG;158;117
00434113115;3115 P ALEGRE SHOP IGUATEMI;158;117
00434113119;3119 BOM DESPACHO MG;316;117
00434113120;3120 CONTAGEM CEASA;158;117
00434113163;3163 JUIZ DE FORA METROPOLITA;316;117
00434113165;3165 JUIZ DE FORA CENTRO;474;117
00434113179;3179 BH ABRAHAO CARAM;158;117
00434113181;3181 PATOS MINAS CENTRO;474;117
00434113183;3183 BELEM AV PRES VARGAS;158;117
00434113186;3186 AV ADOLFO PINHEIRO;158;117
00434113187;3187 ENTRE RIOS DE MINAS MG;316;117
00434113202;3202 SAO GONCALO PARA MG;316;117
00434113242;3242 SP JARDIM PAULISTANO;316;117
00434114301;4301 GOIAS GO;158;117
00434114309;4309 GOIANIA SUL;474;117
00434114703;4703 CENT AT PJ ITU SP;158;117
00434118513;8513 SOROCABA AV GAL CARNEIRO;158;117
00434118905;8905 RIO AV PRES WILSON;158;117
00434118906;8906 MARICA RUA DOMICIO GAMA;158;117
00434118911;8911 MARINGA STA CASA;158;117
00434118938;8938 NITEROI PB UFF;158;117
00434122861;LICEU DE ARTES E OFICIOS DE SA;316;117
00434126583;INDAIATUBA/AV. PRESID.VARGAS;316;117
00434130131;COORD GESTAO DEMANDAS;158;117
00434130134;UNID BUREAU DIGITAL;316;117
00434130145;COORD GOV OPERACIONAL;158;117
00434130311;UNID CONTR FIN SEG CREDITO;948;117
00434130314;UNID PAGTS OPER SEG CREDITO;948;117
00434130750;UNID PLANEJAMENTO DOP;1422;117
00434131066;GER INCENTIVOS MENSAL;158;117
00434131074;GER JUR CIVEL MASS RESIDENTES;158;117
00434131084;UNID PLANEJAMENTO PERFORMANCE;158;117
00434131138;UNID SUPRIMENTOS;2212;117
00434131142;UNID PROJETOS E OBRAS II;316;117
00434131144;SUP ENGENHARIA E FERRAMENTAS;316;117
00434131168;UNID ACORDOS;158;117
00434131182;UNID CONTROLE RISCO OPER COBR;1422;117
00434131198;COORD TRATAMENTO DE RCS;1106;117
00434131199;COORD ATEND RFX TRIAGEM;1580;117
00434131200;UNID RISCOS FORNECEDOR E DPCA;1738;117
00434131283;UNID SUITABILITY E CONDUTA;1106;117
00434131287;GER DE PROJETOS AP;1106;117
00434131290;COORD DE TERCEIROS;158;117
00434131882;COMUNIDADE CONSORCIO;1580;117
00434131896;COORD EVOLUCAO DE NEGOCIOS;316;117
00434131922;GER DE INTEGRACAO DE TI;7268;117
00434131956;UNID GEST DE INFORMACAO;316;117
00434131961;COORD PROCESSOS TRABALHISTA;158;117
00434131966;GER ESTRATEGIA RECUPERACAO PF;1106;117
00434131970;GER RO VALID MOD MERC LIQ;158;117
00434131986;ESPACO ATEC CENTRO EMPRESARIAL;790;117
00434131999;SUP GES PORTF PGTO EMP SIMPLES;5846;117
00434132061;GER JUR EMP ATACADO;1264;117
00434132110;UNID CRED IMOB COML PERSON DIG;474;117
00434132152;COORD PROCESSOS FRANQUIA EMP 4;158;117
00434132155;GER DE FECHAMENTO GERENCIAL;948;117
00434132180;GER CALL CENTER;2212;117
00434132182;UNID PLANEJ E COMUNICACAO;3160;117
00434132183;PRJ EXPANSAO DCIRO;158;117
00434132208;GER RO E COMPLIANCE HEM SUL;158;117
00434132272;SUP ARQUIT NEGOC E SOLUCOES;316;117
00434132379;UNID PRODUTOS PJ E PP III;158;117
00434132529;GER PLAN PREV FRAUDES ORIG;1264;117
00434132540;GER GESTAO FORNECEDORES TI;3002;117
00434132577;CHAPTER VENDAS ESTUD E ANL A;316;117
00434132593;DIR COML ITAU BMG CONSIGNADO 1;158;117
00434132594;DIR COML ITAU BMG CONSIGNADO 2;158;117
00434132597;REG COML SAO PAULO;474;117
00434132601;REG COML NORDESTE;158;117
00434132624;SUP DE PLANEJAMENTO;1580;117
00434132699;UNID SUITABILITY E CONDUTA I;316;117
00434132704;CHAPTER PRODUTO FINANCI IMOB;3634;117
00434132705;COORD PROJETOS ATENDIMENTO;158;117
00434132853;UNID DETECCAO TRATAMEN CRISE 2;1422;117
00434132863;DIR JUR VAREJO INST INTL TRIB;7742;117
00434132864;SUP CONTROLE E PLANEJ FINANC;2370;117
00434132865;GER ATUARIAL PREVIDENCIA;632;117
00434132867;UNID ATUARIAL PREV ABERTA;948;117
00434132868;GER PROVISOES SEGUROS;158;117
00434132869;UNID PROVISOES DE SEGUROS;1106;117
00434132874;CEL COBR RJ DOE CAMBIO;158;117
00434132876;UNID RECURSOS ESPECIAIS 1;1106;117
00434132911;COORD DE VENDA DE IMOVEIS;158;117
00434132934;UNID GEST RESULTS E INCENTIVOS;158;117
00434132980;UNID DETEC TRATAMENTO CRISE 1;158;117
00434132982;UNID CONTR SUP AOS PROCESSOS;158;117
00434133014;GER RO ADQUIRENCIA;1264;117
00434133015;UNID RO ADQ PROD E CANAIS DIG;158;117
00434133016;GER DE COMPLIANCE CROSS-BORDER;158;117
00434133017;UNID CONTR CONT TRIB CONSOLID;158;117
00434133028;SUP OPERACOES TRABALHISTAS;790;117
00434133042;AREA DE MARKETING;158;117
00434133069;UNID GESTAO RESULTADOS CONSIG;474;117
00434133122;UNID TERCEIROS I;158;117
00434133134;COORD MONTADORAS PARCEIRAS;158;117
00434133139;GER PROJETOS SEGUROS;474;117
00434133141;GER PLAN DE NEGOCIOS CARTOES;474;117
00434133148;UNID RO ADM FID CONT E SETUP;158;117
00434133166;COORD DEC SCI JURIDICO;158;117
00434133182;GER CAPACITACAO E ENGAJAMENTO;158;117
00434133900;UNID RO OPERACOES CONTABEIS I;632;117
00434134053;DIR CTO INFRA E OPERACOES TI;316;117
00434134061;SUP SOLUC REDES E DATA CENTER;1738;117
00434134294;AREA DE TECNOLOGIA E OPERACOES;1580;117
00434134453;GER DE GOV E APURACAO CUSTOS;790;117
00434134712;CENTRO TP - CEIC;474;117
00434134836;GER AUTOMACAO UX E BI;632;117
00434134948;GER SISTEMAS PF ICI;316;117
00434135018;SUP MKT BRANDING IHOUSE;790;117
00434135275;SUPERINT CAMBIO;1738;117
00434135325;DIR EXEC MARKETING;632;117
00434135434;GER DE VENDA DE ATIVOS;1264;117
00434135497;GERENCIA DE PROJETOS ESPECIAIS;316;117
00434135498;GER PLANEJ E GESTAO OPERAC;2686;117
00434135512;AREA ITAUCRED VEICULOS;158;117
00434135517;GER CERTIFICACAO SOX;474;117
00434135575;SUP ORIGI ABERT CERTIF E BUREA;158;117
00434135626;SUP RIO DE JANEIRO 2;158;117
00434135658;AREA CONTROLE ECONOMICO;474;117
00434135801;GER RO IMOB/CONS/VEIC/REC;10586;117
00434135973;GER RELAT GERENCIAIS PROJETOS;316;117
00434136032;UNID DE NEGOCIACOES DO PATR;4108;117
00434136049;SUP CRIM TRIB SUPERI CONS TRAB;5372;117
00434136095;SUP GESTAO DE FOLHAS E PABS;158;117
00434136107;GER DE OBRAS DE AGENCIAS;632;117
00434136183;SUP MKT PAYMENTS;316;117
00434136214;SUP PROCESSOS OPERACIONAIS;60988;117
00434136242;SUP RISCOS OPERACIONAIS CORP;3950;117
00434136393;SUP CONSOL DIVULG CONTABEIS;158;117
00434136394;GER ATUARIAL DE PREVI FECHADA;790;117
00434136401;WEALTH MANAGEMENT SERVICES;158;117
00434136676;UNID CONTROLE DE ACESSO;3160;117
00434136765;GER PROC CONT SEGUROS E VAREJO;316;117
00434136786;DIR NEGOCIO EMP BUSINESS E PRO;158;117
00434136862;UNID GESTAO E OPER CONTRATOS;1580;117
00434136890;AUDITORIAS EXTERNAS;790;117
00434136953;SUPERINT COML ITAUCRED 1;158;117
00434136988;GER POL CRED VEIC E RENTABILID;474;117
00434137084;GER EST TRIBUTARIO SOCIETARIO;316;117
00434137143;GER ADM PREDIAL I;3792;117
00434137171;SUP CONSULTORIA TRIBUTARIA;2054;117
00434137211;DIR CRED IMOB E CONSORCIO;790;117
00434137467;SUP GEST PORT CIB TESO OP ATAC;158;117
00434137485;GER ESTUDOS TRIB E SOCIETARIOS;1422;117
00434137487;GER ANALISE OPERACAO RI;632;117
00434137495;GER CAMBIO TRADE FINANCE;158;117
00434137546;SUP COML REG 24-MG CONTAGEM/BE;158;117
